证券代码,交易所,symbol,证券名称
159788,SZ,SZ159788,港股通100ETF易方达
159750,SZ,SZ159750,港股科技50ETF招商
159711,SZ,SZ159711,港股通50ETF华夏
159718,SZ,SZ159718,港股医药ETF平安
159751,SZ,SZ159751,港股通科技ETF鹏华
159605,SZ,SZ159605,中概互联ETF
159607,SZ,SZ159607,中概互联网ETF嘉实
159726,SZ,SZ159726,港股通高股息ETF华夏
159712,SZ,SZ159712,港股通50ETF国泰
159892,SZ,SZ159892,恒生医药ETF华夏
159792,SZ,SZ159792,港股通互联网ETF富国
159747,SZ,SZ159747,香港科技ETF南方
159735,SZ,SZ159735,港股消费ETF银华
159741,SZ,SZ159741,恒生科技ETF嘉实
159740,SZ,SZ159740,恒生科技ETF大成
159742,SZ,SZ159742,恒生科技ETF博时
159866,SZ,SZ159866,日经ETF工银
159850,SZ,SZ159850,恒生国企ETF华夏
159822,SZ,SZ159822,新经济ETF银华
159960,SZ,SZ159960,恒生中国企业ETF平安
159954,SZ,SZ159954,恒生中国企业ETF南方
159941,SZ,SZ159941,纳指ETF广发
159920,SZ,SZ159920,恒生ETF华夏
510900,SH,SH510900,恒生中国企业ETF易方达
513000,SH,SH513000,日经225ETF易方达
513010,SH,SH513010,恒生科技ETF易方达
513020,SH,SH513020,港股科技ETF国泰
513030,SH,SH513030,德国ETF华安
513040,SH,SH513040,港股通互联网ETF易方达
513050,SH,SH513050,中概互联网ETF易方达
513060,SH,SH513060,恒生医疗ETF博时
513070,SH,SH513070,港股通消费ETF易方达
513080,SH,SH513080,法国ETF华安
513090,SH,SH513090,香港证券ETF易方达
513100,SH,SH513100,纳指ETF国泰
513110,SH,SH513110,纳指ETF华泰柏瑞
513120,SH,SH513120,港股创新药ETF
513130,SH,SH513130,恒生科技ETF华泰柏瑞
513140,SH,SH513140,港股通金融ETF华泰柏瑞
513150,SH,SH513150,港股通科技ETF华泰柏瑞
513160,SH,SH513160,港股科技ETF银华
513170,SH,SH513170,恒生央企ETF鹏华
513180,SH,SH513180,恒生科技ETF华夏
513190,SH,SH513190,港股通金融ETF华夏
513200,SH,SH513200,港股通医药ETF易方达
513210,SH,SH513210,恒生ETF易方达
513220,SH,SH513220,中概互联ETF招商
513230,SH,SH513230,港股通消费ETF华夏
513260,SH,SH513260,恒生科技ETF汇添富
513280,SH,SH513280,恒生生物科技ETF汇添富
513290,SH,SH513290,纳指生物科技ETF汇添富
513300,SH,SH513300,纳斯达克ETF华夏
513310,SH,SH513310,中韩半导体ETF华泰柏瑞
513320,SH,SH513320,港股通新经济ETF易方达
513330,SH,SH513330,恒生互联网ETF华夏
513350,SH,SH513350,标普油气ETF富国
513360,SH,SH513360,教育ETF博时
513380,SH,SH513380,恒生科技ETF广发
513390,SH,SH513390,纳指100ETF博时
513400,SH,SH513400,道琼斯ETF
513500,SH,SH513500,标普500ETF博时
513520,SH,SH513520,日经ETF华夏
513530,SH,SH513530,港股通红利ETF华泰柏瑞
513550,SH,SH513550,港股通50ETF华泰柏瑞
513560,SH,SH513560,香港科技ETF兴银
513580,SH,SH513580,恒生科技ETF华安
513590,SH,SH513590,港股通消费ETF鹏华
513600,SH,SH513600,恒生指数ETF南方
513630,SH,SH513630,港股红利指数ETF
513650,SH,SH513650,标普500ETF南方
513660,SH,SH513660,恒生ETF华夏
513690,SH,SH513690,港股红利ETF博时
513700,SH,SH513700,港股通医药ETF鹏华
513720,SH,SH513720,港股互联网ETF国泰
513730,SH,SH513730,东南亚科技ETF
513750,SH,SH513750,港股通非银ETF广发
513770,SH,SH513770,港股互联网ETF华宝
513780,SH,SH513780,港股创新药ETF景顺
513800,SH,SH513800,日本东证指数ETF南方
513810,SH,SH513810,港股国企ETF华夏
513820,SH,SH513820,港股通红利ETF汇添富
513830,SH,SH513830,港股通高股息ETF嘉实
513850,SH,SH513850,美国50ETF易方达
513860,SH,SH513860,港股通科技ETF海富通
513870,SH,SH513870,纳指ETF富国
513880,SH,SH513880,日经225ETF华安
513890,SH,SH513890,恒生科技ETF摩根
513900,SH,SH513900,港股通100ETF华安
513910,SH,SH513910,港股通央企红利ETF华夏
513920,SH,SH513920,港股通央企红利ETF华安
513930,SH,SH513930,恒生生物科技ETF华泰柏瑞
513950,SH,SH513950,恒生红利ETF富国
513970,SH,SH513970,恒生消费ETF景顺
513980,SH,SH513980,港股科技ETF景顺
513990,SH,SH513990,港股通ETF招商
520500,SH,SH520500,恒生创新药ETF华泰柏瑞
520510,SH,SH520510,港股通医疗ETF华夏
520520,SH,SH520520,恒生消费ETF华泰柏瑞
520530,SH,SH520530,港股通科技ETF东财
520550,SH,SH520550,港股红利低波ETF招商
520560,SH,SH520560,香港大盘30ETF华宝
520570,SH,SH520570,恒生科技ETF南方
520580,SH,SH520580,新兴亚洲ETF招商
520590,SH,SH520590,恒生科技ETF鹏华
520600,SH,SH520600,港股通汽车ETF广发
520610,SH,SH520610,港股红利低波ETF银华
520620,SH,SH520620,恒生消费ETF嘉实
520630,SH,SH520630,港股通互联网ETF广发
520650,SH,SH520650,港股通互联网ETF南方
520660,SH,SH520660,港股通央企红利ETF南方
520670,SH,SH520670,港股通科技ETF嘉实
520680,SH,SH520680,港股通汽车ETF南方
520690,SH,SH520690,港股创新药ETF博时
520700,SH,SH520700,港股通创新药ETF万家
520720,SH,SH520720,港股汽车ETF国泰
520760,SH,SH520760,恒生生物科技ETF摩根
520770,SH,SH520770,恒指港股通ETF建信
520780,SH,SH520780,港股通汽车ETF华宝
520790,SH,SH520790,港股通互联网ETF兴业
520810,SH,SH520810,港股通红利ETF易方达
520820,SH,SH520820,恒指港股通ETF汇添富
520830,SH,SH520830,沙特ETF华泰柏瑞
520840,SH,SH520840,港股通恒生科技ETF华安
520850,SH,SH520850,港股通医疗ETF易方达
520860,SH,SH520860,港股通科技ETF富国
520870,SH,SH520870,巴西ETF易方达
520880,SH,SH520880,港股通创新药ETF华宝
520890,SH,SH520890,港股通红利低波ETF华泰柏瑞
520900,SH,SH520900,港股通红利ETF广发
520910,SH,SH520910,港股通互联网ETF华夏
520920,SH,SH520920,恒生科技ETF天弘
520930,SH,SH520930,恒生生物科技ETF国泰
520940,SH,SH520940,港股通恒生ETF华安
520950,SH,SH520950,港股通50ETF摩根
520960,SH,SH520960,恒指港股通ETF嘉实
520970,SH,SH520970,港股通创新药ETF嘉实
520980,SH,SH520980,港股通科技ETF汇添富
520990,SH,SH520990,港股央企红利ETF景顺
526000,SH,SH526000,港股通信息技术ETF华夏
526010,SH,SH526010,港股通医疗ETF汇添富
